Freq.	V(vout)
1.21618600064639e+001	4.99999267263576e-001,-4.82427836530797e-004
1.23026877081240e+001	4.99999261842436e-001,-4.88014085754787e-004
1.24451461177140e+001	4.99999256295023e-001,-4.93665020822342e-004
1.25892541179419e+001	4.99999250618393e-001,-4.99381390955363e-004
1.27350308101668e+001	4.99999244809538e-001,-5.05163952939752e-004
1.28824955169315e+001	4.99999238865378e-001,-5.11013473834878e-004
1.30316677845232e+001	4.99999232782760e-001,-5.16930729132288e-004
1.31825673855643e+001	4.99999226558459e-001,-5.22916502913999e-004
1.33352143216334e+001	4.99999220189176e-001,-5.28971588289532e-004
1.34896288259167e+001	4.99999213671534e-001,-5.35096788722336e-004
1.36458313658895e+001	4.99999207002075e-001,-5.41292915083058e-004
1.38038426460291e+001	4.99999200177266e-001,-5.47560789476423e-004
1.39636836105596e+001	4.99999193193487e-001,-5.53901242185959e-004
1.41253754462278e+001	4.99999186047034e-001,-5.60315113671509e-004
1.42889395851113e+001	4.99999178734118e-001,-5.66803254403085e-004
1.44543977074595e+001	4.99999171250864e-001,-5.73366524140886e-004
1.46217717445674e+001	4.99999163593302e-001,-5.80005792770950e-004
1.47910838816823e+001	4.99999155757372e-001,-5.86721940364960e-004
1.49623565609446e+001	4.99999147738920e-001,-5.93515857518944e-004
1.51356124843623e+001	4.99999139533694e-001,-6.00388444194521e-004
1.53108746168206e+001	4.99999131137345e-001,-6.07340611503610e-004
1.54881661891251e+001	4.99999122545419e-001,-6.14373281052030e-004
1.56675107010817e+001	4.99999113753361e-001,-6.21487384950622e-004
1.58489319246114e+001	4.99999104756510e-001,-6.28683866216381e-004
1.60324539069007e+001	4.99999095550096e-001,-6.35963678730909e-004
1.62181009735896e+001	4.99999086129237e-001,-6.43327787422378e-004
1.64058977319957e+001	4.99999076488938e-001,-6.50777168115879e-004
1.65958690743759e+001	4.99999066624087e-001,-6.58312808662014e-004
1.67880401812259e+001	4.99999056529455e-001,-6.65935707457954e-004
1.69824365246177e+001	4.99999046199688e-001,-6.73646875245184e-004
1.71790838715762e+001	4.99999035629311e-001,-6.81447334022187e-004
1.73780082874941e+001	4.99999024812718e-001,-6.89338117457489e-004
1.75792361395872e+001	4.99999013744173e-001,-6.97320272081425e-004
1.77827941003895e+001	4.99999002417810e-001,-7.05394855259842e-004
1.79887091512882e+001	4.99998990827621e-001,-7.13562937610309e-004
1.81970085861002e+001	4.99998978967463e-001,-7.21825601811717e-004
1.84077200146899e+001	4.99998966831046e-001,-7.30183942858813e-004
1.86208713666290e+001	4.99998954411936e-001,-7.38639068762487e-004
1.88364908948983e+001	4.99998941703547e-001,-7.47192100252541e-004
1.90546071796328e+001	4.99998928699142e-001,-7.55844170870726e-004
1.92752491319097e+001	4.99998915391826e-001,-7.64596427565116e-004
1.94984459975808e+001	4.99998901774543e-001,-7.73450030287005e-004
1.97242273611489e+001	4.99998887840071e-001,-7.82406153032861e-004
1.99526231496892e+001	4.99998873581026e-001,-7.91465982056997e-004
2.01836636368160e+001	4.99998858989844e-001,-8.00630719137544e-004
2.04173794466957e+001	4.99998844058790e-001,-8.09901578460477e-004
2.06538015581057e+001	4.99998828779947e-001,-8.19279788945570e-004
2.08929613085408e+001	4.99998813145215e-001,-8.28766593743143e-004
2.11348903983669e+001	4.99998797146303e-001,-8.38363250343330e-004
2.13796208950227e+001	4.99998780774728e-001,-8.48071030798261e-004
